               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038977,           0.0081638,           0.0023838,             0.35211,             0.25164,              0.2292,            0.075703,            0.063447,            0.010496,            0.020596,             0.00307,             0.00307,             0.00307
                  37,            0.037781,           0.0081231,           0.0024303,             0.28733,             0.31008,             0.23754,            0.084866,            0.062477,             0.01053,            0.021047,            0.002872,            0.002872,            0.002872
                  38,            0.037061,           0.0080079,           0.0020484,             0.35977,             0.25567,             0.24689,            0.084704,             0.06232,            0.010557,            0.020119,            0.002674,            0.002674,            0.002674
                  39,            0.035996,           0.0078503,            0.002131,             0.44542,             0.26549,              0.2651,            0.092789,            0.063533,            0.010361,            0.020972,            0.002476,            0.002476,            0.002476
                  40,            0.036051,           0.0078261,           0.0018196,             0.41286,             0.24817,             0.25631,            0.079531,            0.062686,            0.010737,            0.022328,            0.002278,            0.002278,            0.002278
                  41,             0.03501,           0.0076558,           0.0017825,             0.32954,             0.25746,             0.23698,            0.077581,            0.062919,             0.01092,            0.023032,             0.00208,             0.00208,             0.00208
                  42,            0.034914,           0.0077334,           0.0018724,             0.28713,             0.28373,             0.24151,            0.078392,            0.063236,            0.010731,            0.021424,            0.001882,            0.001882,            0.001882
                  43,            0.034055,           0.0072023,           0.0020888,             0.36148,             0.27251,             0.24931,            0.082215,            0.063507,            0.011101,            0.021274,            0.001684,            0.001684,            0.001684
                  44,            0.033666,           0.0071866,           0.0017261,             0.36498,             0.29307,              0.2539,            0.079275,            0.063074,            0.010731,            0.022121,            0.001486,            0.001486,            0.001486
                  45,            0.032736,           0.0069186,           0.0017805,             0.33324,             0.28641,             0.23489,            0.079509,            0.063265,            0.011461,            0.022421,            0.001288,            0.001288,            0.001288
                  46,            0.032096,           0.0070781,           0.0014988,               0.351,             0.26271,             0.23634,            0.079918,            0.062937,            0.011242,            0.021929,             0.00109,             0.00109,             0.00109
                  47,            0.031338,           0.0068264,           0.0011298,              0.3803,             0.29611,             0.24843,            0.076381,            0.063111,            0.011398,            0.022062,            0.000892,            0.000892,            0.000892
                  48,            0.031168,           0.0069303,           0.0014146,             0.36987,             0.29256,             0.24553,            0.078071,             0.06318,            0.011365,            0.022828,            0.000694,            0.000694,            0.000694
                  49,            0.030985,           0.0069035,           0.0015061,              0.3887,             0.28623,             0.23792,            0.077488,            0.063062,             0.01153,            0.023194,            0.000496,            0.000496,            0.000496
